"intervention","space","time","costs"
"zcube","North","1",69578.81
"zcube","North","2",53958.44
"zcube","North","3",99343.35
"zcube","North","4",79722.05
"zcube","North","5",79975.26
"zcube","North","6",102731.09
"zcube","North","7",80486.95
"zcube","North","8",111452.25
"zcube","North","9",103505.69
"zcube","North","10",81265.58
"zcube","South","1",76549.21
"zcube","South","2",59364.00
"zcube","South","3",109295.57
"zcube","South","4",87708.60
"zcube","South","5",87987.17
"zcube","South","6",113022.68
"zcube","South","7",88550.12
"zcube","South","8",122617.53
"zcube","South","9",113874.88
"zcube","South","10",89406.76
"zcube","Cities","1",44303.66
"zcube","Cities","2",34357.54
"zcube","Cities","3",63255.95
"zcube","Cities","4",50762.27
"zcube","Cities","5",50923.50
"zcube","Cities","6",65413.06
"zcube","Cities","7",51249.31
"zcube","Cities","8",70966.18
"zcube","Cities","9",65906.28
"zcube","Cities","10",51745.10
"flour","North","1",220278.38
"flour","North","2",224600.13
"flour","North","3",243532.40
"flour","North","4",233448.04
"flour","North","5",257823.87
"flour","North","6",257123.42
"flour","North","7",247262.64
"flour","North","8",252027.47
"flour","North","9",271421.55
"flour","North","10",281667.59
"flour","South","1",348339.78
"flour","South","2",355174.03
"flour","South","3",385112.80
"flour","South","4",369165.78
"flour","South","5",407712.77
"flour","South","6",406605.12
"flour","South","7",391011.65
"flour","South","8",398546.57
"flour","South","9",429215.63
"flour","South","10",445418.32
"flour","Cities","1",364174.16
"flour","Cities","2",371319.07
"flour","Cities","3",402618.77
"flour","Cities","4",385946.85
"flour","Cities","5",426246.06
"flour","Cities","6",425088.05
"flour","Cities","7",408785.76
"flour","Cities","8",416663.19
"flour","Cities","9",448726.36
"flour","Cities","10",465665.58
"flourzcube","North","1",289857.19
"flourzcube","North","2",278558.57
"flourzcube","North","3",342875.76
"flourzcube","North","4",313170.09
"flourzcube","North","5",337799.12
"flourzcube","North","6",359854.51
"flourzcube","North","7",327749.58
"flourzcube","North","8",363479.72
"flourzcube","North","9",374927.24
"flourzcube","North","10",362933.17
"flourzcube","South","1",424888.99
"flourzcube","South","2",414538.02
"flourzcube","South","3",494408.37
"flourzcube","South","4",456874.38
"flourzcube","South","5",495699.95
"flourzcube","South","6",519627.80
"flourzcube","South","7",479561.77
"flourzcube","South","8",521164.10
"flourzcube","South","9",543090.51
"flourzcube","South","10",534825.09
"flourzcube","Cities","1",408477.82
"flourzcube","Cities","2",405676.61
"flourzcube","Cities","3",465874.72
"flourzcube","Cities","4",436709.12
"flourzcube","Cities","5",477169.56
"flourzcube","Cities","6",490501.12
"flourzcube","Cities","7",460035.07
"flourzcube","Cities","8",487629.37
"flourzcube","Cities","9",514632.64
"flourzcube","Cities","10",517410.68
"cube","North","1",69578.81
"cube","North","2",53958.44
"cube","North","3",99343.35
"cube","North","4",142247.59
"cube","North","5",143905.54
"cube","North","6",168075.99
"cube","North","7",147255.97
"cube","North","8",179654.14
"cube","North","9",173147.91
"cube","North","10",152354.31
"cube","South","1",76549.21
"cube","South","2",59364.00
"cube","South","3",109295.57
"cube","South","4",156497.94
"cube","South","5",158321.99
"cube","South","6",184913.84
"cube","South","7",162008.07
"cube","South","8",197651.88
"cube","South","9",190493.86
"cube","South","10",167617.16
"cube","Cities","1",44303.66
"cube","Cities","2",34357.54
"cube","Cities","3",63255.95
"cube","Cities","4",90574.82
"cube","Cities","5",91630.51
"cube","Cities","6",107020.82
"cube","Cities","7",93763.86
"cube","Cities","8",114393.09
"cube","Cities","9",110250.32
"cube","Cities","10",97010.18
"oilvas","North","1",1115010.91
"oilvas","North","2",1117487.69
"oilvas","North","3",1120005.28
"oilvas","North","4",1122554.50
"oilvas","North","5",1125122.75
"oilvas","North","6",1127698.33
"oilvas","North","7",1130275.41
"oilvas","North","8",1132854.06
"oilvas","North","9",1135434.91
"oilvas","North","10",1138015.16
"oilvas","South","1",1449557.67
"oilvas","South","2",1451041.12
"oilvas","South","3",1452520.94
"oilvas","South","4",1453995.48
"oilvas","South","5",1455462.41
"oilvas","South","6",1456921.33
"oilvas","South","7",1458376.92
"oilvas","South","8",1459835.81
"oilvas","South","9",1461301.59
"oilvas","South","10",1462774.78
"oilvas","Cities","1",684803.75
"oilvas","Cities","2",687055.59
"oilvas","Cities","3",689334.40
"oilvas","Cities","4",691643.43
