"intervention","space","time","lives_saved"
"zcube","North","1",0.00
"zcube","North","2",0.00
"zcube","North","3",0.00
"zcube","North","4",0.00
"zcube","North","5",0.00
"zcube","North","6",0.00
"zcube","North","7",0.00
"zcube","North","8",0.00
"zcube","North","9",0.00
"zcube","North","10",0.00
"zcube","South","1",0.00
"zcube","South","2",0.00
"zcube","South","3",0.00
"zcube","South","4",0.00
"zcube","South","5",0.00
"zcube","South","6",0.00
"zcube","South","7",0.00
"zcube","South","8",0.00
"zcube","South","9",0.00
"zcube","South","10",0.00
"zcube","Cities","1",0.00
"zcube","Cities","2",0.00
"zcube","Cities","3",0.00
"zcube","Cities","4",0.00
"zcube","Cities","5",0.00
"zcube","Cities","6",0.00
"zcube","Cities","7",0.00
"zcube","Cities","8",0.00
"zcube","Cities","9",0.00
"zcube","Cities","10",0.00
"flour","North","1",503.07
"flour","North","2",507.40
"flour","North","3",511.73
"flour","North","4",518.42
"flour","North","5",525.71
"flour","North","6",533.73
"flour","North","7",543.46
"flour","North","8",553.55
"flour","North","9",564.82
"flour","North","10",576.98
"flour","South","1",612.56
"flour","South","2",616.52
"flour","South","3",619.24
"flour","South","4",622.96
"flour","South","5",625.67
"flour","South","6",627.15
"flour","South","7",630.37
"flour","South","8",631.60
"flour","South","9",633.34
"flour","South","10",634.07
"flour","Cities","1",528.06
"flour","Cities","2",543.51
"flour","Cities","3",557.69
"flour","Cities","4",572.59
"flour","Cities","5",586.05
"flour","Cities","6",599.50
"flour","Cities","7",611.50
"flour","Cities","8",624.95
"flour","Cities","9",635.95
"flour","Cities","10",645.94
"flourzcube","North","1",503.07
"flourzcube","North","2",507.40
"flourzcube","North","3",511.73
"flourzcube","North","4",770.63
"flourzcube","North","5",781.58
"flourzcube","North","6",793.53
"flourzcube","North","7",807.47
"flourzcube","North","8",822.90
"flourzcube","North","9",839.59
"flourzcube","North","10",857.51
"flourzcube","South","1",612.56
"flourzcube","South","2",616.52
"flourzcube","South","3",619.24
"flourzcube","South","4",916.91
"flourzcube","South","5",920.24
"flourzcube","South","6",924.24
"flourzcube","South","7",927.91
"flourzcube","South","8",930.58
"flourzcube","South","9",932.58
"flourzcube","South","10",932.58
"flourzcube","Cities","1",528.06
"flourzcube","Cities","2",543.51
"flourzcube","Cities","3",557.69
"flourzcube","Cities","4",665.89
"flourzcube","Cities","5",681.35
"flourzcube","Cities","6",697.82
"flourzcube","Cities","7",711.52
"flourzcube","Cities","8",726.99
"flourzcube","Cities","9",739.69
"flourzcube","Cities","10",752.40
"cube","North","1",0.00
"cube","North","2",0.00
"cube","North","3",0.00
"cube","North","4",909.05
"cube","North","5",923.49
"cube","North","6",937.98
"cube","North","7",953.53
"cube","North","8",971.42
"cube","North","9",992.08
"cube","North","10",1013.79
"cube","South","1",0.00
"cube","South","2",0.00
"cube","South","3",0.00
"cube","South","4",838.89
"cube","South","5",842.14
"cube","South","6",844.82
"cube","South","7",847.95
"cube","South","8",850.63
"cube","South","9",852.19
"cube","South","10",852.75
"cube","Cities","1",0.00
"cube","Cities","2",0.00
"cube","Cities","3",0.00
"cube","Cities","4",361.24
"cube","Cities","5",368.74
"cube","Cities","6",376.82
"cube","Cities","7",385.09
"cube","Cities","8",391.77
"cube","Cities","9",398.44
"cube","Cities","10",403.71
"oilvas","North","1",1359.51
"oilvas","North","2",1368.50
"oilvas","North","3",1379.12
"oilvas","North","4",1394.64
"oilvas","North","5",1414.25
"oilvas","North","6",1436.31
"oilvas","North","7",1460.82
"oilvas","North","8",1486.15
"oilvas","North","9",1515.56
"oilvas","North","10",1547.43
"oilvas","South","1",607.37
"oilvas","South","2",609.97
"oilvas","South","3",614.30
"oilvas","South","4",616.90
"oilvas","South","5",620.37
"oilvas","South","6",622.97
"oilvas","South","7",624.70
"oilvas","South","8",627.30
"oilvas","South","9",628.17
"oilvas","South","10",629.03
"oilvas","Cities","1",293.70
"oilvas","Cities","2",303.22
"oilvas","Cities","3",311.16
"oilvas","Cities","4",319.10
"oilvas","Cities","5",327.83
"oilvas","Cities","6",335.77
"oilvas","Cities","7",342.12
