intervention,space,time,benefit,costs
vas,Cities,1,91831.7073328899,161563.11631465
vas,Cities,2,93729.4427470627,164901.876491927
vas,Cities,3,95545.5130466302,168096.96003732
vas,Cities,4,97257.2011546992,171108.399908473
vas,Cities,5,98888.5728919598,173978.536045483
vas,Cities,6,100438.067946961,176704.623331355
vas,Cities,7,101900.688033866,179277.868086222
vas,Cities,8,103290.925537004,181723.767328955
vas,Cities,9,104628.852937586,184077.635361239
vas,Cities,10,105946.17893782,186395.258543704
vas,North,1,450772.780632843,717214.911508991
vas,North,2,460088.163025236,732036.41681118
vas,North,3,469002.677222311,746220.109318135
vas,North,4,477404.812285024,759588.566364343
vas,North,5,485412.699708755,772329.744440628
vas,North,6,493018.680418529,784431.457356924
vas,North,7,500198.219411458,795854.667995908
vas,North,8,507022.455214433,806712.563343262
vas,North,9,513589.917283491,817161.911505068
vas,North,10,520056.253599909,827450.360648905
vas,South,1,273371.855529945,650546.546279546
vas,South,2,279021.183703674,663990.325724561
vas,South,3,284427.404735435,676855.579954256
vas,South,4,289522.892642407,688981.378541181
vas,South,5,294379.288454121,700538.206571457
vas,South,6,298991.947312619,711515.010616426
vas,South,7,303345.989927152,721876.382235122
vas,South,8,307484.55836825,731724.987171715
vas,South,9,311467.405978126,741203.021228805
vas,South,10,315388.925717668,750535.112558326
oil,Cities,1,81628.1842959021,101519.773973985
oil,Cities,2,117335.376475953,123337.664965697
oil,Cities,3,153580.565415694,146276.566651425
oil,Cities,4,156331.945559776,148284.568205267
oil,Cities,5,158954.224574484,229379.885453592
oil,Cities,6,161444.894403633,152394.252283048
oil,Cities,7,163795.920765548,154493.87373104
oil,Cities,8,166030.598826147,156622.938155783
oil,Cities,9,168181.193240417,158780.181881206
oil,Cities,10,170298.672811163,240021.396276211
oil,North,1,81220.3208347465,73059.7520881115
oil,North,2,144036.609595738,88761.222299702
oil,North,3,184854.6588151,105269.439415732
oil,North,4,188166.311148377,106714.51843801
oil,North,5,191322.573083406,165075.599651485
oil,North,6,194320.425840636,109672.094958621
oil,North,7,197150.199092354,111183.109182396
oil,North,8,199839.931672355,112715.312347971
oil,North,9,202428.458388763,114267.79503783
oil,North,10,204977.126981946,172733.872637226
oil,South,1,65495.3403873826,82252.0811063302
oil,South,2,94460.2965663478,99929.0997714746
oil,South,3,122955.596838756,118514.369695619
oil,South,4,125158.33379854,120141.267591496
oil,South,5,127257.71323798,185845.300909794
