intervention,region,time,effective_coverage,above_ul,costs,pop
cube 1,Boucle de Mouhoun,2020,548.1586709958005,257.64119476884855,4785134768.267181,303125.22287262016
cube 1,Boucle de Mouhoun,2021,559.1518942430765,262.8081424459575,4881099782.704154,309204.34452705906
cube 1,Boucle de Mouhoun,2022,569.4570149611327,267.65167362501194,4971058026.636664,314902.95367012953
cube 1,Boucle de Mouhoun,2023,579.3783831560106,272.3148364840914,5057666314.36446,320389.35223390727
cube 1,Boucle de Mouhoun,2024,589.4184604818757,277.03379406823103,5145310869.910415,325941.39553467726
cube 1,Boucle de Mouhoun,2025,600.0372448213037,282.0247509370387,5238007231.069896,331813.4569282843
cube 1,Boucle de Mouhoun,2026,611.6915768991311,287.50242774786005,5339743375.323957,338258.1638999086
cube 1,Boucle de Mouhoun,2027,622.9923073101878,292.8139075053109,5438392764.37499,344507.333357088
cube 1,Boucle de Mouhoun,2028,634.1252347874156,298.0465178575238,5535577322.720302,350663.7097884392
cube 1,Boucle de Mouhoun,2029,645.2163299246014,303.2594665047621,5632396706.9009695,356796.95343348343
cube 1,Boucle de Mouhoun,2030,656.4703344011206,308.5489845087318,5730638203.300174,363020.2840048254
cube 1,Cascades,2020,728.6304963639542,,2230139398.9342785,127955.67152069989
cube 1,Cascades,2021,743.2430495080125,,2274864442.215074,130521.79942710849
cube 1,Cascades,2022,756.9409541863192,,2316789995.7821856,132927.30482426906
cube 1,Cascades,2023,770.1287624158434,,2357154283.1198936,135243.23157495516
cube 1,Cascades,2024,783.4743627183761,,2398001528.995039,137586.86838000108
cube 1,Cascades,2025,797.5891993768271,,2441203197.7401934,140065.59170005127
cube 1,Cascades,2026,813.0805200764182,,2488617909.045974,142786.04102621917
cube 1,Cascades,2027,828.1018218351322,,2534594020.453004,145423.94976493224
cube 1,Cascades,2028,842.9000744268138,,2579887439.1402254,148022.6885730808
cube 1,Cascades,2029,857.6427220991508,,2625010666.321568,150611.66253494567
cube 1,Cascades,2030,872.601914212106,,2670796677.027692,153238.66412460222
cube 1,Centre,2020,5542.5958508413805,4347.824950691543,7250765503.65623,447550.49093612924
cube 1,Centre,2021,5653.751610627204,4435.019795637078,7396178297.638926,456526.0352841754
cube 1,Centre,2022,5757.949760463194,4516.7568242541,7532489219.580115,464939.77035862696
cube 1,Centre,2023,5858.2676740550805,4595.450046609454,7663724057.343074,473040.18624424876
cube 1,Centre,2024,5959.785891084057,4675.084833057269,7796529119.4178505,481237.52357372077
cube 1,Centre,2025,6067.155587368846,4759.309744455836,7936989025.012738,489907.3529419627
cube 1,Centre,2026,6184.996015764419,4851.748300065241,8091146632.051143,499422.6672459195
cube 1,Centre,2027,6299.261072219725,4941.382196675822,8240626975.182004,508649.2793767054
cube 1,Centre,2028,6411.829423151591,5029.685132341874,8387887706.0210285,517738.88686013385
cube 1,Centre,2029,6523.974794813737,5117.656266831725,8534595099.835276,526794.3398453969
cube 1,Centre,2030,6637.767391405508,5206.91954778889,8683457375.949783,535982.8020461566
cube 1,Centre-Est,2020,3125.398298242459,,4625426523.882322,247693.39851570752
cube 1,Centre-Est,2021,3188.0775972250326,,4718188618.292938,252660.84493375485
cube 1,Centre-Est,2022,3246.833589713278,,4805144423.652206,257317.3623033205
cube 1,Centre-Est,2023,3303.4015670403137,,4888862080.65547,261800.475562572
cube 1,Centre-Est,2024,3360.646379991055,,4973581419.09177,266337.22925413784
cube 1,Centre-Est,2025,3421.1907666073635,,5063183954.5141325,271135.4800532362
cube 1,Centre-Est,2026,3487.6394639836617,,5161524562.011934,276401.6580278427
cube 1,Centre-Est,2027,3552.072055246794,,5256881437.581539,281508.05599130015
cube 1,Centre-Est,2028,3615.5478961535428,,5350822372.5084305,286538.6297798238
cube 1,Centre-Est,2029,3678.785224506725,,5444410321.292029,291550.30102238565
cube 1,Centre-Est,2030,3742.9514017477595,,5539372917.999693,296635.5851986555
cube 1,Centre-Nord,2020,1764.8221515434368,,3809797091.0034966,259646.7723712599
cube 1,Centre-Nord,2021,1800.21534138099,,3886201884.2947173,264853.94154533616
cube 1,Centre-Nord,2022,1833.3931533537825,,3957824246.598625,269735.176623637
cube 1,Centre-Nord,2023,1865.3354563590985,,4026779462.830004,274434.63932597317
cube 1,Centre-Nord,2024,1897.659948892815,,4096559727.949306,279190.3310808496
cube 1,Centre-Nord,2025,1931.8476153774861,,4170362106.397236,284220.1394668599
cube 1,Centre-Nord,2026,1969.369275620548,,4251361719.8249235,289740.4566090727
cube 1,Centre-Nord,2027,2005.7524989705012,,4329903740.820499,295093.28295648465
cube 1,Centre-Nord,2028,2041.5954730269837,,4407279502.550301,300366.6259490425
cube 1,Centre-Nord,2029,2077.3037659331644,,4484364522.318266,305620.1541823939
cube 1,Centre-Nord,2030,2113.5365529793853,,4562581790.02817,310950.84781763575
cube 1,Centre-Ouest,2020,1610.7579886859128,870.0208260021988,3380883737.8131285,252398.93526040527
cube 1,Centre-Ouest,2021,1643.061449533827,887.4689366973134,3448686751.191256,257460.7503688881
cube 1,Centre-Ouest,2022,1673.3429289653707,903.8249119168393,3512245747.6923695,262205.72957763117
cube 1,Centre-Ouest,2023,1702.4967559942538,919.571806764455,3573437869.903962,266774.0104444914
cube 1,Centre-Ouest,2024,1731.9994084475716,935.5071131462856,3635362155.6144114,271396.95077375224
cube 1,Centre-Ouest,2025,1763.2025848450082,952.360925757414,3700855738.3817844,276286.3559822161
cube 1,Centre-Ouest,2026,1797.4487064343218,970.8583283478637,3772736279.3306694,281652.5777775789
cube 1,Centre-Ouest,2027,1830.6557735678728,988.7945050917158,3842435907.72977,286855.984153025
cube 1,Centre-Ouest,2028,1863.3697536985328,1006.4643501056872,3911100576.2893972,291982.125889466
cube 1,Centre-Ouest,2029,1895.960809976167,1024.067800097628,3979507235.1054115,297089.0059802472
cube 1,Centre-Ouest,2030,1929.0305734852066,1041.9298148546084,4048918671.489005,302270.89746091864
cube 1,Centre-Sud,2020,1051.9066805830362,,2116962107.092321,133621.29060735472
cube 1,Centre-Sud,2021,1073.0024792756724,,2159417400.204829,136301.04148234735
cube 1,Centre-Sud,2022,1092.7778215280273,,2199215274.841212,138813.05780730996
cube 1,Centre-Sud,2023,1111.8167495554853,,2237531115.9113026,141231.52912398553
cube 1,Centre-Sud,2024,1131.0834782810603,,2276305405.867388,143678.93744034512
cube 1,Centre-Sud,2025,1151.4607354099553,,2317314634.1426926,146267.41363016426
cube 1,Centre-Sud,2026,1173.825190118168,,2362323097.380921,149108.31896616303
cube 1,Centre-Sud,2027,1195.5110895553944,,2405965968.1927857,151863.02898395417
cube 1,Centre-Sud,2028,1216.8749781653623,,2448960792.241603,154576.83470564938
cube 1,Centre-Sud,2029,1238.158591263361,,2491794061.829266,157280.44321336024
cube 1,Centre-Sud,2030,1259.7548244683494,,2535256479.356218,160023.76313553101
cube 1,Est,2020,5927.564133887311,147.74867162265681,3853582551.9519887,274863.2348039935
cube 1,Est,2021,6046.4403631331115,150.71174457502974,3930865454.7626977,280375.567386783
cube 1,Est,2022,6157.875732481117,153.4893489030576,4003310962.780876,285542.86467766593
cube 1,Est,2023,6265.161358674375,156.16351798773076,4073058671.5926666,290517.73691816453
cube 1,Est,2024,6373.730656958282,158.86968349486486,4143640911.462952,295552.13348523196
cube 1,Est,2025,6488.557856684108,161.73183156149645,4218291490.243406,300876.7111443228
cube 1,Est,2026,6614.58304698794,164.87309735597933,4300222020.810739,306720.5435670997
cube 1,Est,2027,6736.784533191965,167.91905465802517,4379666714.182551,312387.06948520336
cube 1,Est,2028,6857.17146695934,170.91978297459755,4457931744.63524,317969.45396827674
cube 1,Est,2029,6977.106042875622,173.90923595612713,4535902691.669708,323530.86245860974
cube 1,Est,2030,7098.802253895029,176.94259892167236,4615018899.412113,329173.9585885958
cube 1,Hauts Bassins,2020,7716.071887227999,2733.647163218037,4103468400.199193,333805.28757823096
cube 1,Hauts Bassins,2021,7870.816316782005,2788.4699638679763,4185762718.6117496,340499.6923950012
cube 1,Hauts Bassins,2022,8015.874776082913,2839.8612224726394,4262905961.0053473,346775.0720739728
cube 1,Hauts Bassins,2023,8155.531401549159,2889.338721336062,4337176465.201632,352816.7628082349
cube 1,Hauts Bassins,2024,8296.859017983592,2939.4082182765765,4412335615.685196,358930.7423481002
cube 1,Hauts Bassins,2025,8446.332715387944,2992.36370584292,4491826916.819255,365397.1298152814
cube 1,Hauts Bassins,2026,8610.383142514784,3050.483431954117,4579070238.757253,372494.1217568741
cube 1,Hauts Bassins,2027,8769.456149736385,3106.8397595378033,4663666529.201224,379375.7853413507
cube 1,Hauts Bassins,2028,8926.167104565453,3162.3592600524066,4747006661.39602,386155.26408492797
cube 1,Hauts Bassins,2029,9082.289212843232,3217.670144223354,4830033640.311388,392909.2687148286
cube 1,Hauts Bassins,2030,9240.704489577354,3273.7934512873326,4914280144.450789,399762.4781949719
cube 1,Nord,2020,553.4747094695902,,4622059470.940641,250490.97501304146
cube 1,Nord,2021,564.574544909331,,4714754039.712,255514.52632300023
cube 1,Nord,2022,574.9796046069434,,4801646546.087116,260223.63679206138
cube 1,Nord,2023,584.9971901524304,,4885303261.2979145,264757.3846356988
cube 1,Nord,2024,595.1346360691219,,4969960928.773445,269345.3787542513
cube 1,Nord,2025,605.8564012954357,,5059498238.539554,274197.823463015
cube 1,Nord,2026,617.6237569939593,,5157767259.551211,279523.4803572085
cube 1,Nord,2027,629.0340817995332,,5253054720.625364,284687.55260271864
cube 1,Nord,2028,640.2749763197476,,5346927271.782747,289774.9442761081
cube 1,Nord,2029,651.4736328102156,,5440447093.751094,294843.2199084703
cube 1,Nord,2030,662.836778533507,,5535340562.976363,299985.93989683304
cube 1,Plateau Central,2020,163.58117662797176,,2421276346.7599816,145596.89397233803
cube 1,Plateau Central,2021,166.86176761170384,,2469834607.044229,148516.8134121605
cube 1,Plateau Central,2022,169.93701545789878,,2515353443.7704782,151253.9653499987
cube 1,Plateau Central,2023,172.89774410993152,,2559177203.9494696,153889.1884515616
cube 1,Plateau Central,2024,175.8938978685089,,2603525315.244684,156555.94198705256
cube 1,Plateau Central,2025,179.06274902149121,,2650429638.231484,159376.40638794252
cube 1,Plateau Central,2026,182.54062769964995,,2701908087.976824,162471.92351033216
cube 1,Plateau Central,2027,185.91298478384599,,2751824640.780223,165473.5201912341
cube 1,Plateau Central,2028,189.2352662187642,,2800999989.811621,168430.5465911979
cube 1,Plateau Central,2029,192.5450640722538,,2849990560.8565845,171376.4618675036
cube 1,Plateau Central,2030,195.90347723153334,,2899700720.135513,174365.6476329232
cube 1,Sahel,2020,,78.72235266301998,3904720849.718869,215254.7326195628
cube 1,Sahel,2021,,80.30111524248122,3983029321.8648505,219571.62744569188
cube 1,Sahel,2022,,81.78105780350663,4056436205.411115,223618.31341847382
cube 1,Sahel,2023,,83.20588876443624,4127109489.075316,227514.30480018278
cube 1,Sahel,2024,,84.6477678221458,4198628378.2974396,231456.9117032767
cube 1,Sahel,2025,,86.17275635165755,4274269594.6144395,235626.76927312237
cube 1,Sahel,2026,,87.84646232116451,4357287370.053749,240203.27288058156
cube 1,Sahel,2027,,89.46938672579505,4437786320.426905,244640.92174348977
cube 1,Sahel,2028,,91.06821255745075,4517089953.369112,249012.67659146152
cube 1,Sahel,2029,,92.66103074861886,4596095600.31019,253368.0044272431
cube 1,Sahel,2030,,94.27724473217644,4676261705.94246,257787.3046274785
cube 1,Sud-Ouest,2020,263.7859790719861,,2412944719.941896,133230.89392865638
cube 1,Sud-Ouest,2021,269.076159289644,,2461335890.9535108,135902.81546869365
cube 1,Sud-Ouest,2022,274.0352094732874,,2506698097.0823045,138407.49252290346
cube 1,Sud-Ouest,2023,278.8095895232558,,2550371059.4326777,140818.8978760244
cube 1,Sud-Ouest,2024,283.64109501153087,,2594566568.6038537,143259.1556846035
cube 1,Sud-Ouest,2025,288.75108701155114,,2641309493.526446,145840.06921354125
cube 1,Sud-Ouest,2026,294.3594073031831,,2692610805.609236,148672.67437519936
cube 1,Sud-Ouest,2027,299.7975667147525,,2742355595.24708,151419.33605251394
cube 1,Sud-Ouest,2028,305.1549756729708,,2791361731.5996666,154125.21294239227
cube 1,Sud-Ouest,2029,310.49225399136026,,2840183725.788007,156820.92241113173
cube 1,Sud-Ouest,2030,315.9079278580642,,2889722832.102769,159556.22727087233
cube 1 + current fortification,Boucle de Mouhoun,2020,10284.274301976855,257.64119476884855,23435823481.173756,303125.22287262016
cube 1 + current fortification,Boucle de Mouhoun,2021,10490.523567600023,262.8081424459575,23905824692.765045,309204.34452705906
cube 1 + current fortification,Boucle de Mouhoun,2022,10683.863003400513,267.65167362501194,24346406960.052395,314902.95367012953
cube 1 + current fortification,Boucle de Mouhoun,2023,10870.002669460479,272.3148364840914,24770582378.612305,320389.35223390727
cube 1 + current fortification,Boucle de Mouhoun,2024,11058.369495884439,277.03379406823103,25199833054.36804,325941.39553467726
cube 1 + current fortification,Boucle de Mouhoun,2025,11257.593729082877,282.0247509370387,25653825608.953373,331813.4569282843
cube 1 + current fortification,Boucle de Mouhoun,2026,11476.24638247787,287.50242774786005,26152091683.757534,338258.1638999086
cube 1 + current fortification,Boucle de Mouhoun,2027,11688.2649411716,292.8139075053109,26635239971.1699,344507.333357088
cube 1 + current fortification,Boucle de Mouhoun,2028,11897.135266531648,298.0465178575238,27111214058.58339,350663.7097884392
cube 1 + current fortification,Boucle de Mouhoun,2029,12105.220754795346,303.2594665047621,27585399657.756336,356796.95343348343
cube 1 + current fortification,Boucle de Mouhoun,2030,12316.362665260693,308.5489845087318,28066550237.549072,363020.2840048254
cube 1 + current fortification,Cascades,2020,9370.475585986336,,9365587421.286108,127955.67152069989
cube 1 + current fortification,Cascades,2021,9558.39878322914,,9553412587.267778,130521.79942710849
cube 1 + current fortification,Cascades,2022,9734.559240426264,,9729481149.307549,132927.30482426906
cube 1 + current fortification,Cascades,2023,9904.159656088386,,9898993091.897268,135243.23157495516
cube 1 + current fortification,Cascades,2024,10075.789340049281,,10070533244.2058,137586.86838000108
cube 1 + current fortification,Cascades,2025,10257.3117069667,,10251960918.893553,140065.59170005127
cube 1 + current fortification,Cascades,2026,10456.536201596824,,10451081486.873087,142786.04102621917
cube 1 + current fortification,Cascades,2027,10649.716067251875,,10644160579.09445,145423.94976493224
cube 1 + current fortification,Cascades,2028,10840.027432638848,,10834372667.418077,148022.6885730808
cube 1 + current fortification,Cascades,2029,11029.623696830111,,11023870027.582813,150611.66253494567
cube 1 + current fortification,Cascades,2030,11222.00480794203,,11216150781.936134,153238.66412460222
cube 1 + current fortification,Centre,2020,79749.34211747427,4347.824950691543,31742966120.135902,447550.49093612924
cube 1 + current fortification,Centre,2021,81348.70078515373,4435.019795637078,32379565578.565426,456526.0352841754
cube 1 + current fortification,Centre,2022,82847.9502565033,4516.7568242541,32976318152.455975,464939.77035862696
cube 1 + current fortification,Centre,2023,84291.36915747478,4595.450046609454,33550848249.55959,473040.18624424876
cube 1 + current fortification,Centre,2024,85752.05855985486,4675.084833057269,34132252596.98972,481237.52357372077
cube 1 + current fortification,Centre,2025,87296.94165660188,4759.309744455836,34747168914.76165,489907.3529419627
cube 1 + current fortification,Centre,2026,88992.48231882817,4851.748300065241,35422052097.08409,499422.6672459195
cube 1 + current fortification,Centre,2027,90636.57893430545,4941.382196675822,36076458789.072205,508649.2793767054
cube 1 + current fortification,Centre,2028,92256.26259366923,5029.685132341874,36721148289.44186,517738.88686013385
cube 1 + current fortification,Centre,2029,93869.86023857386,5117.656266831725,37363415347.874626,526794.3398453969
cube 1 + current fortification,Centre,2030,95507.15889073072,5206.91954778889,38015116217.925705,535982.8020461566
cube 1 + current fortification,Centre-Est,2020,16937.357428005245,,17084652162.620926,247693.39851570752
cube 1 + current fortification,Centre-Est,2021,17277.03307536246,,17427281779.30574,252660.84493375485
cube 1 + current fortification,Centre-Est,2022,17595.44729039874,,17748465064.871532,257317.3623033205
cube 1 + current fortification,Centre-Est,2023,17902.00407437923,,18057687801.928406,261800.475562572
cube 1 + current fortification,Centre-Est,2024,18212.22880906064,,18370610387.804157,266337.22925413784
cube 1 + current fortification,Centre-Est,2025,18540.33480340908,,18701569736.671967,271135.4800532362
cube 1 + current fortification,Centre-Est,2026,18900.437814510296,,19064804362.47045,276401.6580278427
cube 1 + current fortification,Centre-Est,2027,19249.615015013005,,19417018161.999928,281508.05599130015
cube 1 + current fortification,Centre-Est,2028,19593.607333075437,,19764001989.063347,286538.6297798238
cube 1 + current fortification,Centre-Est,2029,19936.30708872331,,20109682013.01905,291550.30102238565
cube 1 + current fortification,Centre-Est,2030,20284.04052139693,,20460439489.077263,296635.5851986555
