,intervention,space,time,opt_vals,opt_benefit,opt_costs
0,cube,Cities,1,,,
1,cube,Cities,2,,,
2,cube,Cities,3,,,
3,cube,Cities,4,,,
4,cube,Cities,5,,,
5,cube,Cities,6,,,
6,cube,Cities,7,,,
7,cube,Cities,8,,,
8,cube,Cities,9,,,
9,cube,Cities,10,,,
10,cube,North,1,,,
11,cube,North,2,,,
12,cube,North,3,,,
13,cube,North,4,,,
14,cube,North,5,,,
15,cube,North,6,,,
16,cube,North,7,,,
17,cube,North,8,,,
18,cube,North,9,,,
19,cube,North,10,,,
20,cube,South,1,,,
21,cube,South,2,,,
22,cube,South,3,,,
23,cube,South,4,,,
24,cube,South,5,,,
25,cube,South,6,,,
26,cube,South,7,,,
27,cube,South,8,,,
28,cube,South,9,,,
29,cube,South,10,,,
30,cubemaize,Cities,1,,,
31,cubemaize,Cities,2,,,
32,cubemaize,Cities,3,,,
33,cubemaize,Cities,4,,,
34,cubemaize,Cities,5,,,
35,cubemaize,Cities,6,,,
36,cubemaize,Cities,7,,,
37,cubemaize,Cities,8,,,
38,cubemaize,Cities,9,,,
39,cubemaize,Cities,10,,,
40,cubemaize,North,1,,,
41,cubemaize,North,2,,,
42,cubemaize,North,3,,,
43,cubemaize,North,4,,,
44,cubemaize,North,5,,,
45,cubemaize,North,6,,,
46,cubemaize,North,7,,,
47,cubemaize,North,8,,,
48,cubemaize,North,9,,,
49,cubemaize,North,10,,,
50,cubemaize,South,1,,,
51,cubemaize,South,2,,,
52,cubemaize,South,3,,,
53,cubemaize,South,4,,,
54,cubemaize,South,5,,,
55,cubemaize,South,6,,,
56,cubemaize,South,7,,,
57,cubemaize,South,8,,,
58,cubemaize,South,9,,,
59,cubemaize,South,10,,,
60,maize,Cities,1,,,
61,maize,Cities,2,,,
62,maize,Cities,3,,,
63,maize,Cities,4,,,
64,maize,Cities,5,,,
65,maize,Cities,6,,,
66,maize,Cities,7,,,
67,maize,Cities,8,,,
68,maize,Cities,9,,,
69,maize,Cities,10,,,
70,maize,North,1,,,
71,maize,North,2,,,
72,maize,North,3,,,
73,maize,North,4,,,
74,maize,North,5,,,
75,maize,North,6,,,
76,maize,North,7,,,
77,maize,North,8,,,
78,maize,North,9,,,
79,maize,North,10,,,
80,maize,South,1,,,
81,maize,South,2,,,
82,maize,South,3,,,
83,maize,South,4,,,
84,maize,South,5,,,
85,maize,South,6,,,
86,maize,South,7,,,
87,maize,South,8,,,
88,maize,South,9,,,
89,maize,South,10,,,
90,oil,Cities,1,,,
91,oil,Cities,2,,,
92,oil,Cities,3,,,
93,oil,Cities,4,,,
94,oil,Cities,5,,,
95,oil,Cities,6,,,
96,oil,Cities,7,,,
97,oil,Cities,8,,,
98,oil,Cities,9,,,
99,oil,Cities,10,,,
100,oil,North,1,,,
101,oil,North,2,,,
102,oil,North,3,,,
103,oil,North,4,,,
104,oil,North,5,,,
105,oil,North,6,,,
106,oil,North,7,,,
107,oil,North,8,,,
108,oil,North,9,,,
109,oil,North,10,,,
110,oil,South,1,,,
111,oil,South,2,,,
112,oil,South,3,,,
113,oil,South,4,,,
114,oil,South,5,,,
115,oil,South,6,,,
116,oil,South,7,,,
117,oil,South,8,,,
118,oil,South,9,,,
119,oil,South,10,,,
120,oilcube,Cities,1,,,
121,oilcube,Cities,2,,,
122,oilcube,Cities,3,,,
123,oilcube,Cities,4,,,
124,oilcube,Cities,5,,,
125,oilcube,Cities,6,,,
126,oilcube,Cities,7,,,
127,oilcube,Cities,8,,,
128,oilcube,Cities,9,,,
129,oilcube,Cities,10,,,
130,oilcube,North,1,,,
131,oilcube,North,2,,,
132,oilcube,North,3,,,
133,oilcube,North,4,,,
134,oilcube,North,5,,,
135,oilcube,North,6,,,
136,oilcube,North,7,,,
137,oilcube,North,8,,,
138,oilcube,North,9,,,
139,oilcube,North,10,,,
140,oilcube,South,1,,,
141,oilcube,South,2,,,
142,oilcube,South,3,,,
143,oilcube,South,4,,,
144,oilcube,South,5,,,
145,oilcube,South,6,,,
146,oilcube,South,7,,,
147,oilcube,South,8,,,
148,oilcube,South,9,,,
149,oilcube,South,10,,,
150,oilcubemaize,Cities,1,,,
151,oilcubemaize,Cities,2,,,
152,oilcubemaize,Cities,3,,,
153,oilcubemaize,Cities,4,,,
154,oilcubemaize,Cities,5,,,
155,oilcubemaize,Cities,6,,,
156,oilcubemaize,Cities,7,,,
157,oilcubemaize,Cities,8,,,
158,oilcubemaize,Cities,9,,,
159,oilcubemaize,Cities,10,,,
160,oilcubemaize,North,1,,,
161,oilcubemaize,North,2,,,
162,oilcubemaize,North,3,,,
163,oilcubemaize,North,4,,,
164,oilcubemaize,North,5,,,
165,oilcubemaize,North,6,,,
166,oilcubemaize,North,7,,,
167,oilcubemaize,North,8,,,
168,oilcubemaize,North,9,,,
169,oilcubemaize,North,10,,,
170,oilcubemaize,South,1,,,
171,oilcubemaize,South,2,,,
172,oilcubemaize,South,3,,,
173,oilcubemaize,South,4,,,
174,oilcubemaize,South,5,,,
175,oilcubemaize,South,6,,,
176,oilcubemaize,South,7,,,
177,oilcubemaize,South,8,,,
178,oilcubemaize,South,9,,,
179,oilcubemaize,South,10,,,
180,oilmaize,Cities,1,,,
181,oilmaize,Cities,2,,,
182,oilmaize,Cities,3,,,
183,oilmaize,Cities,4,,,
184,oilmaize,Cities,5,,,
185,oilmaize,Cities,6,,,
186,oilmaize,Cities,7,,,
187,oilmaize,Cities,8,,,
188,oilmaize,Cities,9,,,
189,oilmaize,Cities,10,,,
190,oilmaize,North,1,,,
191,oilmaize,North,2,,,
192,oilmaize,North,3,,,
193,oilmaize,North,4,,,
194,oilmaize,North,5,,,
195,oilmaize,North,6,,,
196,oilmaize,North,7,,,
197,oilmaize,North,8,,,
198,oilmaize,North,9,,,
199,oilmaize,North,10,,,
200,oilmaize,South,1,,,
201,oilmaize,South,2,,,
202,oilmaize,South,3,,,
203,oilmaize,South,4,,,
204,oilmaize,South,5,,,
205,oilmaize,South,6,,,
206,oilmaize,South,7,,,
207,oilmaize,South,8,,,
208,oilmaize,South,9,,,
209,oilmaize,South,10,,,
210,vas,Cities,1,,,
211,vas,Cities,2,,,
212,vas,Cities,3,,,
213,vas,Cities,4,,,
214,vas,Cities,5,,,
215,vas,Cities,6,,,
216,vas,Cities,7,,,
217,vas,Cities,8,,,
218,vas,Cities,9,,,
219,vas,Cities,10,,,
220,vas,North,1,,,
221,vas,North,2,,,
222,vas,North,3,,,
223,vas,North,4,,,
224,vas,North,5,,,
225,vas,North,6,,,
226,vas,North,7,,,
227,vas,North,8,,,
228,vas,North,9,,,
229,vas,North,10,,,
230,vas,South,1,,,
231,vas,South,2,,,
232,vas,South,3,,,
233,vas,South,4,,,
234,vas,South,5,,,
235,vas,South,6,,,
236,vas,South,7,,,
237,vas,South,8,,,
238,vas,South,9,,,
239,vas,South,10,,,
240,vascube,Cities,1,,,
241,vascube,Cities,2,,,
242,vascube,Cities,3,,,
243,vascube,Cities,4,,,
244,vascube,Cities,5,,,
245,vascube,Cities,6,,,
246,vascube,Cities,7,,,
247,vascube,Cities,8,,,
248,vascube,Cities,9,,,
249,vascube,Cities,10,,,
250,vascube,North,1,,,
251,vascube,North,2,,,
252,vascube,North,3,,,
253,vascube,North,4,,,
254,vascube,North,5,,,
255,vascube,North,6,,,
256,vascube,North,7,,,
257,vascube,North,8,,,
258,vascube,North,9,,,
259,vascube,North,10,,,
260,vascube,South,1,,,
261,vascube,South,2,,,
262,vascube,South,3,,,
263,vascube,South,4,,,
264,vascube,South,5,,,
265,vascube,South,6,,,
266,vascube,South,7,,,
267,vascube,South,8,,,
268,vascube,South,9,,,
269,vascube,South,10,,,
270,vascubemaize,Cities,1,,,
271,vascubemaize,Cities,2,,,
272,vascubemaize,Cities,3,,,
273,vascubemaize,Cities,4,,,
274,vascubemaize,Cities,5,,,
275,vascubemaize,Cities,6,,,
276,vascubemaize,Cities,7,,,
277,vascubemaize,Cities,8,,,
278,vascubemaize,Cities,9,,,
279,vascubemaize,Cities,10,,,
280,vascubemaize,North,1,,,
281,vascubemaize,North,2,,,
282,vascubemaize,North,3,,,
283,vascubemaize,North,4,,,
284,vascubemaize,North,5,,,
285,vascubemaize,North,6,,,
286,vascubemaize,North,7,,,
287,vascubemaize,North,8,,,
288,vascubemaize,North,9,,,
289,vascubemaize,North,10,,,
290,vascubemaize,South,1,,,
291,vascubemaize,South,2,,,
292,vascubemaize,South,3,,,
293,vascubemaize,South,4,,,
294,vascubemaize,South,5,,,
295,vascubemaize,South,6,,,
296,vascubemaize,South,7,,,
297,vascubemaize,South,8,,,
298,vascubemaize,South,9,,,
299,vascubemaize,South,10,,,
300,vasmaize,Cities,1,,,
301,vasmaize,Cities,2,,,
302,vasmaize,Cities,3,,,
303,vasmaize,Cities,4,,,
304,vasmaize,Cities,5,,,
305,vasmaize,Cities,6,,,
306,vasmaize,Cities,7,,,
307,vasmaize,Cities,8,,,
308,vasmaize,Cities,9,,,
309,vasmaize,Cities,10,,,
310,vasmaize,North,1,,,
311,vasmaize,North,2,,,
312,vasmaize,North,3,,,
313,vasmaize,North,4,,,
314,vasmaize,North,5,,,
315,vasmaize,North,6,,,
316,vasmaize,North,7,,,
317,vasmaize,North,8,,,
318,vasmaize,North,9,,,
319,vasmaize,North,10,,,
320,vasmaize,South,1,,,
321,vasmaize,South,2,,,
322,vasmaize,South,3,,,
323,vasmaize,South,4,,,
324,vasmaize,South,5,,,
325,vasmaize,South,6,,,
326,vasmaize,South,7,,,
327,vasmaize,South,8,,,
328,vasmaize,South,9,,,
329,vasmaize,South,10,,,
330,vasoil,Cities,1,,,
331,vasoil,Cities,2,,,
332,vasoil,Cities,3,,,
333,vasoil,Cities,4,,,
334,vasoil,Cities,5,,,
335,vasoil,Cities,6,,,
336,vasoil,Cities,7,,,
337,vasoil,Cities,8,,,
338,vasoil,Cities,9,,,
339,vasoil,Cities,10,,,
340,vasoil,North,1,,,
341,vasoil,North,2,,,
342,vasoil,North,3,,,
343,vasoil,North,4,,,
344,vasoil,North,5,,,
345,vasoil,North,6,,,
346,vasoil,North,7,,,
347,vasoil,North,8,,,
348,vasoil,North,9,,,
349,vasoil,North,10,,,
350,vasoil,South,1,,,
351,vasoil,South,2,,,
352,vasoil,South,3,,,
353,vasoil,South,4,,,
354,vasoil,South,5,,,
355,vasoil,South,6,,,
356,vasoil,South,7,,,
357,vasoil,South,8,,,
358,vasoil,South,9,,,
359,vasoil,South,10,,,
360,vasoilcube,Cities,1,,,
361,vasoilcube,Cities,2,,,
362,vasoilcube,Cities,3,,,
363,vasoilcube,Cities,4,,,
364,vasoilcube,Cities,5,,,
365,vasoilcube,Cities,6,,,
366,vasoilcube,Cities,7,,,
367,vasoilcube,Cities,8,,,
368,vasoilcube,Cities,9,,,
369,vasoilcube,Cities,10,,,
370,vasoilcube,North,1,,,
371,vasoilcube,North,2,,,
372,vasoilcube,North,3,,,
373,vasoilcube,North,4,,,
374,vasoilcube,North,5,,,
375,vasoilcube,North,6,,,
376,vasoilcube,North,7,,,
377,vasoilcube,North,8,,,
378,vasoilcube,North,9,,,
379,vasoilcube,North,10,,,
380,vasoilcube,South,1,,,
381,vasoilcube,South,2,,,
382,vasoilcube,South,3,,,
383,vasoilcube,South,4,,,
384,vasoilcube,South,5,,,
385,vasoilcube,South,6,,,
386,vasoilcube,South,7,,,
387,vasoilcube,South,8,,,
388,vasoilcube,South,9,,,
389,vasoilcube,South,10,,,
390,vasoilcubemaize,Cities,1,,,
391,vasoilcubemaize,Cities,2,,,
392,vasoilcubemaize,Cities,3,,,
393,vasoilcubemaize,Cities,4,,,
394,vasoilcubemaize,Cities,5,,,
395,vasoilcubemaize,Cities,6,,,
396,vasoilcubemaize,Cities,7,,,
397,vasoilcubemaize,Cities,8,,,
398,vasoilcubemaize,Cities,9,,,
399,vasoilcubemaize,Cities,10,,,
400,vasoilcubemaize,North,1,,,
401,vasoilcubemaize,North,2,,,
402,vasoilcubemaize,North,3,,,
403,vasoilcubemaize,North,4,,,
404,vasoilcubemaize,North,5,,,
405,vasoilcubemaize,North,6,,,
406,vasoilcubemaize,North,7,,,
407,vasoilcubemaize,North,8,,,
