,intervention,space,time,opt_vals,opt_benefit,opt_costs
0,cube,Cities,1,0,0.0,0.0
1,cube,Cities,2,0,0.0,0.0
2,cube,Cities,3,0,0.0,0.0
3,cube,Cities,4,0,0.0,0.0
4,cube,Cities,5,0,0.0,0.0
5,cube,Cities,6,0,0.0,0.0
6,cube,Cities,7,0,0.0,0.0
7,cube,Cities,8,0,0.0,0.0
8,cube,Cities,9,0,0.0,0.0
9,cube,Cities,10,0,0.0,0.0
10,cube,North,1,0,0.0,0.0
11,cube,North,2,0,0.0,0.0
12,cube,North,3,0,0.0,0.0
13,cube,North,4,0,0.0,0.0
14,cube,North,5,0,0.0,0.0
15,cube,North,6,0,0.0,0.0
16,cube,North,7,0,0.0,0.0
17,cube,North,8,0,0.0,0.0
18,cube,North,9,0,0.0,0.0
19,cube,North,10,0,0.0,0.0
20,cube,South,1,0,0.0,0.0
21,cube,South,2,0,0.0,0.0
22,cube,South,3,0,0.0,0.0
23,cube,South,4,0,0.0,0.0
24,cube,South,5,0,0.0,0.0
25,cube,South,6,0,0.0,0.0
26,cube,South,7,0,0.0,0.0
27,cube,South,8,0,0.0,0.0
28,cube,South,9,0,0.0,0.0
29,cube,South,10,0,0.0,0.0
30,cubemaize,Cities,1,0,0.0,0.0
31,cubemaize,Cities,2,0,0.0,0.0
32,cubemaize,Cities,3,0,0.0,0.0
33,cubemaize,Cities,4,0,0.0,0.0
34,cubemaize,Cities,5,0,0.0,0.0
35,cubemaize,Cities,6,0,0.0,0.0
36,cubemaize,Cities,7,0,0.0,0.0
37,cubemaize,Cities,8,0,0.0,0.0
38,cubemaize,Cities,9,0,0.0,0.0
39,cubemaize,Cities,10,0,0.0,0.0
40,cubemaize,North,1,0,0.0,0.0
41,cubemaize,North,2,0,0.0,0.0
42,cubemaize,North,3,0,0.0,0.0
43,cubemaize,North,4,0,0.0,0.0
44,cubemaize,North,5,0,0.0,0.0
45,cubemaize,North,6,0,0.0,0.0
46,cubemaize,North,7,0,0.0,0.0
47,cubemaize,North,8,0,0.0,0.0
48,cubemaize,North,9,0,0.0,0.0
49,cubemaize,North,10,0,0.0,0.0
50,cubemaize,South,1,0,0.0,0.0
51,cubemaize,South,2,0,0.0,0.0
52,cubemaize,South,3,0,0.0,0.0
53,cubemaize,South,4,0,0.0,0.0
54,cubemaize,South,5,0,0.0,0.0
55,cubemaize,South,6,0,0.0,0.0
56,cubemaize,South,7,0,0.0,0.0
57,cubemaize,South,8,0,0.0,0.0
58,cubemaize,South,9,0,0.0,0.0
59,cubemaize,South,10,0,0.0,0.0
60,maize,Cities,1,0,0.0,0.0
61,maize,Cities,2,0,0.0,0.0
62,maize,Cities,3,0,0.0,0.0
63,maize,Cities,4,1,42937.253250519105,24179.9335276269
64,maize,Cities,5,1,43657.4736619319,24179.9335276269
65,maize,Cities,6,1,44341.5470343619,25436.140897842797
66,maize,Cities,7,1,44987.2667171734,24179.9335276269
67,maize,Cities,8,1,45601.0308296697,24179.9335276269
68,maize,Cities,9,1,46191.701000593705,24179.9335276269
69,maize,Cities,10,1,46773.276034771,24179.9335276269
70,maize,North,1,0,0.0,0.0
71,maize,North,2,0,0.0,0.0
72,maize,North,3,0,0.0,0.0
73,maize,North,4,1,192467.255403197,119060.228041356
74,maize,North,5,1,195695.660468169,119060.228041356
75,maize,North,6,1,198762.035574137,125245.701454435
76,maize,North,7,1,201656.489357322,119060.228041356
77,maize,North,8,1,204407.70153915198,119060.228041356
78,maize,North,9,1,207055.39458050602,119060.228041356
79,maize,North,10,1,209662.31845581898,119060.228041356
80,maize,South,1,0,0.0,0.0
81,maize,South,2,0,0.0,0.0
82,maize,South,3,0,0.0,0.0
83,maize,South,4,1,134205.924193616,122314.49613101699
84,maize,South,5,1,136457.066002171,122314.49613101699
85,maize,South,6,1,138595.225577204,128669.036822723
86,maize,South,7,1,140613.505747482,122314.49613101699
87,maize,South,8,1,142531.904660283,122314.49613101699
88,maize,South,9,1,144378.120479444,122314.49613101699
89,maize,South,10,1,146195.908275377,122314.49613101699
90,oil,Cities,1,0,0.0,0.0
91,oil,Cities,2,1,117335.376475953,123337.664965697
92,oil,Cities,3,1,153580.565415694,146276.566651425
93,oil,Cities,4,1,156331.945559776,148284.568205267
94,oil,Cities,5,0,0.0,0.0
95,oil,Cities,6,1,161444.89440363302,152394.252283048
96,oil,Cities,7,0,0.0,0.0
97,oil,Cities,8,0,0.0,0.0
98,oil,Cities,9,0,0.0,0.0
99,oil,Cities,10,0,0.0,0.0
100,oil,North,1,1,81220.3208347465,73059.7520881115
101,oil,North,2,1,144036.609595738,88761.22229970199
102,oil,North,3,1,184854.6588151,105269.43941573199
103,oil,North,4,1,188166.311148377,106714.51843801
104,oil,North,5,1,191322.57308340602,165075.599651485
105,oil,North,6,1,194320.42584063602,109672.09495862099
106,oil,North,7,1,197150.19909235399,111183.109182396
107,oil,North,8,1,199839.931672355,112715.31234797099
108,oil,North,9,1,202428.458388763,114267.79503783
109,oil,North,10,1,204977.12698194603,172733.87263722598
110,oil,South,1,0,0.0,0.0
111,oil,South,2,1,94460.2965663478,99929.0997714746
112,oil,South,3,1,122955.596838756,118514.36969561901
113,oil,South,4,1,125158.33379854,120141.267591496
114,oil,South,5,0,0.0,0.0
115,oil,South,6,1,129251.727223684,123470.964406756
116,oil,South,7,0,0.0,0.0
117,oil,South,8,0,0.0,0.0
118,oil,South,9,0,0.0,0.0
119,oil,South,10,0,0.0,0.0
120,oilcube,Cities,1,0,0.0,0.0
121,oilcube,Cities,2,0,0.0,0.0
122,oilcube,Cities,3,0,0.0,0.0
123,oilcube,Cities,4,0,0.0,0.0
124,oilcube,Cities,5,0,0.0,0.0
125,oilcube,Cities,6,0,0.0,0.0
126,oilcube,Cities,7,0,0.0,0.0
127,oilcube,Cities,8,0,0.0,0.0
128,oilcube,Cities,9,0,0.0,0.0
129,oilcube,Cities,10,0,0.0,0.0
130,oilcube,North,1,0,0.0,0.0
131,oilcube,North,2,0,0.0,0.0
132,oilcube,North,3,0,0.0,0.0
133,oilcube,North,4,0,0.0,0.0
134,oilcube,North,5,0,0.0,0.0
135,oilcube,North,6,0,0.0,0.0
136,oilcube,North,7,0,0.0,0.0
137,oilcube,North,8,0,0.0,0.0
138,oilcube,North,9,0,0.0,0.0
139,oilcube,North,10,0,0.0,0.0
140,oilcube,South,1,0,0.0,0.0
141,oilcube,South,2,0,0.0,0.0
142,oilcube,South,3,0,0.0,0.0
143,oilcube,South,4,0,0.0,0.0
144,oilcube,South,5,0,0.0,0.0
145,oilcube,South,6,0,0.0,0.0
146,oilcube,South,7,0,0.0,0.0
147,oilcube,South,8,0,0.0,0.0
148,oilcube,South,9,0,0.0,0.0
149,oilcube,South,10,0,0.0,0.0
150,oilcubemaize,Cities,1,0,0.0,0.0
151,oilcubemaize,Cities,2,0,0.0,0.0
152,oilcubemaize,Cities,3,0,0.0,0.0
153,oilcubemaize,Cities,4,0,0.0,0.0
154,oilcubemaize,Cities,5,0,0.0,0.0
155,oilcubemaize,Cities,6,0,0.0,0.0
156,oilcubemaize,Cities,7,0,0.0,0.0
157,oilcubemaize,Cities,8,0,0.0,0.0
158,oilcubemaize,Cities,9,0,0.0,0.0
159,oilcubemaize,Cities,10,0,0.0,0.0
160,oilcubemaize,North,1,0,0.0,0.0
161,oilcubemaize,North,2,0,0.0,0.0
162,oilcubemaize,North,3,0,0.0,0.0
163,oilcubemaize,North,4,0,0.0,0.0
164,oilcubemaize,North,5,0,0.0,0.0
165,oilcubemaize,North,6,0,0.0,0.0
166,oilcubemaize,North,7,0,0.0,0.0
167,oilcubemaize,North,8,0,0.0,0.0
168,oilcubemaize,North,9,0,0.0,0.0
169,oilcubemaize,North,10,0,0.0,0.0
170,oilcubemaize,South,1,0,0.0,0.0
171,oilcubemaize,South,2,0,0.0,0.0
172,oilcubemaize,South,3,0,0.0,0.0
173,oilcubemaize,South,4,0,0.0,0.0
174,oilcubemaize,South,5,0,0.0,0.0
175,oilcubemaize,South,6,0,0.0,0.0
176,oilcubemaize,South,7,0,0.0,0.0
177,oilcubemaize,South,8,0,0.0,0.0
178,oilcubemaize,South,9,0,0.0,0.0
179,oilcubemaize,South,10,0,0.0,0.0
180,oilmaize,Cities,1,0,0.0,0.0
181,oilmaize,Cities,2,0,0.0,0.0
