,Unnamed: 0,vehicle,nutrient,compound,nut,fort,fort_prop,price,fort_level,fort_over,upper_bound
0,0,Bouillon,Calcium,Calcium Carbonate,Calcium,Calcium Carbonate,0.4,1.2799999999999998,0.0,0.0,1000
1,1,Maize Flour,Calcium,Calcium Carbonate,Calcium,Calcium Carbonate,0.4,1.2799999999999998,0.0,0.0,1000
2,2,Rice,Calcium,Calcium Carbonate,Calcium,Calcium Carbonate,0.4,1.2799999999999998,0.0,0.0,1000
3,3,Salt,Calcium,Calcium Carbonate,Calcium,Calcium Carbonate,0.4,1.2799999999999998,0.0,0.0,1000
4,4,Wheat Flour,Calcium,Calcium Carbonate,Calcium,Calcium Carbonate,0.4,1.2799999999999998,0.0,0.0,1000
5,5,Bouillon,Fluoride,Potassium fluoride (for wet method),Fluoride,Potassium fluoride (for wet method),0.33,6.0,0.0,0.0,1000
6,6,Salt,Fluoride,Potassium fluoride (for wet method),Fluoride,Potassium fluoride (for wet method),0.33,6.0,0.0,0.0,1000
7,7,Bouillon,Fluoride,Sodium fluoride (for dry method),Fluoride,Sodium fluoride (for dry method),0.45,11.0,0.0,0.0,1000
8,8,Salt,Fluoride,Sodium fluoride (for dry method),Fluoride,Sodium fluoride (for dry method),0.45,11.0,0.0,0.0,1000
9,9,Bouillon,Folate,Folic Acid,Folate,Folic Acid,0.9,60.0,80.0,0.0,1000
10,10,Maize Flour,Folate,Folic Acid,Folate,Folic Acid,0.9,60.0,2.5,0.0,1000
11,11,Rice,Folate,Folic Acid,Folate,Folic Acid,0.9,60.0,0.0,0.0,1000
12,12,Salt,Folate,Folic Acid,Folate,Folic Acid,0.9,60.0,0.0,0.0,1000
13,13,Wheat Flour,Folate,Folic Acid,Folate,Folic Acid,0.9,60.0,2.5,0.0,1000
14,14,Bouillon,Iodine,Potassium Iodate,Iodine,Potassium Iodate,0.59,24.0,0.0,0.0,1000
15,15,Salt,Iodine,Potassium Iodate,Iodine,Potassium Iodate,0.59,24.0,0.0,0.0,1000
16,16,Bouillon,Iodine,Potassium iodide (for refined salt),Iodine,Potassium iodide (for refined salt),0.76,12.0,0.0,0.0,1000
17,17,Salt,Iodine,Potassium iodide (for refined salt),Iodine,Potassium iodide (for refined salt),0.76,12.0,0.0,0.0,1000
18,18,Bouillon,Iron,Electrolytic iron,Iron,Electrolytic iron,0.97,7.6,0.0,0.0,1000
19,19,Maize Flour,Iron,Electrolytic iron,Iron,Electrolytic iron,0.97,7.6,0.0,0.0,1000
20,20,Rice,Iron,Electrolytic iron,Iron,Electrolytic iron,0.97,7.6,0.0,0.0,1000
21,21,Wheat Flour,Iron,Electrolytic iron,Iron,Electrolytic iron,0.97,7.6,0.0,0.0,1000
22,22,Bouillon,Iron,Encapsulated ferrous sulfate ET-50%,Iron,Encapsulated ferrous sulfate ET-50%,0.16,13.0,0.0,0.0,1000
