"intervention","space","time","costs"
"clinic","North","1",272446.09
"clinic","North","2",275628.73
"clinic","North","3",278835.38
"clinic","North","4",282035.80
"clinic","North","5",285202.79
"clinic","North","6",288317.50
"clinic","North","7",291368.99
"clinic","North","8",294346.93
"clinic","North","9",297236.16
"clinic","North","10",300028.58
"clinic","South","1",381514.06
"clinic","South","2",382239.66
"clinic","South","3",382906.37
"clinic","South","4",383513.71
"clinic","South","5",384056.84
"clinic","South","6",384543.92
"clinic","South","7",384991.12
"clinic","South","8",385400.64
"clinic","South","9",385765.74
"clinic","South","10",386087.45
"clinic","Cities","1",108687.29
"clinic","Cities","2",109465.44
"clinic","Cities","3",110243.33
"clinic","Cities","4",111024.42
"clinic","Cities","5",111811.72
"clinic","Cities","6",112613.19
"clinic","Cities","7",113435.32
"clinic","Cities","8",114282.22
"clinic","Cities","9",115158.83
"clinic","Cities","10",116071.18
"clinicfcube","North","1",342024.90
"clinicfcube","North","2",329587.18
"clinicfcube","North","3",378178.73
"clinicfcube","North","4",408233.43
"clinicfcube","North","5",412750.53
"clinicfcube","North","6",439729.70
"clinicfcube","North","7",421657.56
"clinicfcube","North","8",456733.17
"clinicfcube","North","9",452819.69
"clinicfcube","North","10",434527.03
"clinicfcube","South","1",458063.27
"clinicfcube","South","2",441603.66
"clinicfcube","South","3",492201.94
"clinicfcube","South","4",522353.81
"clinicfcube","South","5",524382.31
"clinicfcube","South","6",551124.58
"clinicfcube","South","7",528332.00
"clinicfcube","South","8",564054.73
"clinicfcube","South","9",556935.62
"clinicfcube","South","10",534059.95
"clinicfcube","Cities","1",152990.94
"clinicfcube","Cities","2",143822.98
"clinicfcube","Cities","3",173499.29
"clinicfcube","Cities","4",191379.59
"clinicfcube","Cities","5",193026.55
"clinicfcube","Cities","6",209023.49
"clinicfcube","Cities","7",196395.36
"clinicfcube","Cities","8",217680.14
"clinicfcube","Cities","9",214225.19
"clinicfcube","Cities","10",201711.82
"clinicfcubefflour","North","1",378224.09
"clinicfcubefflour","North","2",345418.73
"clinicfcubefflour","North","3",395181.38
"clinicfcubefflour","North","4",384983.80
"clinicfcubefflour","North","5",409155.79
"clinicfcubefflour","North","6",408138.50
"clinicfcubefflour","North","7",397832.99
"clinicfcubefflour","North","8",402010.93
"clinicfcubefflour","North","9",420657.16
"clinicfcubefflour","North","10",429981.58
"clinicfcubefflour","South","1",548787.06
"clinicfcubefflour","South","2",492603.66
"clinicfcubefflour","South","3",566891.37
"clinicfcubefflour","South","4",546311.71
"clinicfcubefflour","South","5",580070.84
"clinicfcubefflour","South","6",574023.92
"clinicfcubefflour","South","7",553349.12
"clinicfcubefflour","South","8",555655.64
"clinicfcubefflour","South","9",580938.74
"clinicfcubefflour","South","10",591589.45
"clinicfcubefflour","Cities","1",283564.29
"clinicfcubefflour","Cities","2",224846.44
"clinicfcubefflour","Cities","3",302592.33
"clinicfcubefflour","Cities","4",281222.42
"clinicfcubefflour","Cities","5",316735.72
"clinicfcubefflour","Cities","6",310706.19
"clinicfcubefflour","Cities","7",289446.32
