"intervention","space","time","lives_saved"
"clinic","North","1",220.10
"clinic","North","2",221.70
"clinic","North","3",223.50
"clinic","North","4",225.90
"clinic","North","5",229.10
"clinic","North","6",232.60
"clinic","North","7",236.70
"clinic","North","8",240.80
"clinic","North","9",245.50
"clinic","North","10",250.70
"clinic","South","1",107.64
"clinic","South","2",108.36
"clinic","South","3",108.84
"clinic","South","4",109.44
"clinic","South","5",110.04
"clinic","South","6",110.40
"clinic","South","7",110.76
"clinic","South","8",111.12
"clinic","South","9",111.48
"clinic","South","10",111.60
"clinic","Cities","1",48.50
"clinic","Cities","2",49.90
"clinic","Cities","3",51.40
"clinic","Cities","4",52.80
"clinic","Cities","5",54.10
"clinic","Cities","6",55.30
"clinic","Cities","7",56.40
"clinic","Cities","8",57.60
"clinic","Cities","9",58.70
"clinic","Cities","10",59.80
"clinicfcube","North","1",517.10
"clinicfcube","North","2",520.70
"clinicfcube","North","3",526.50
"clinicfcube","North","4",534.90
"clinicfcube","North","5",544.10
"clinicfcube","North","6",552.60
"clinicfcube","North","7",561.70
"clinicfcube","North","8",572.80
"clinicfcube","North","9",585.50
"clinicfcube","North","10",598.70
"clinicfcube","South","1",539.64
"clinicfcube","South","2",542.36
"clinicfcube","South","3",544.84
"clinicfcube","South","4",548.44
"clinicfcube","South","5",550.04
"clinicfcube","South","6",551.40
"clinicfcube","South","7",553.76
"clinicfcube","South","8",555.12
"clinicfcube","South","9",556.48
"clinicfcube","South","10",556.60
"clinicfcube","Cities","1",231.50
"clinicfcube","Cities","2",237.90
"clinicfcube","Cities","3",244.40
"clinicfcube","Cities","4",249.80
"clinicfcube","Cities","5",254.10
"clinicfcube","Cities","6",259.30
"clinicfcube","Cities","7",265.40
"clinicfcube","Cities","8",269.60
"clinicfcube","Cities","9",273.70
"clinicfcube","Cities","10",276.80
"clinicfcubefflour","North","1",524.10
"clinicfcubefflour","North","2",527.70
"clinicfcubefflour","North","3",533.50
"clinicfcubefflour","North","4",542.90
"clinicfcubefflour","North","5",551.10
"clinicfcubefflour","North","6",559.60
"clinicfcubefflour","North","7",569.70
"clinicfcubefflour","North","8",580.80
"clinicfcubefflour","North","9",593.50
"clinicfcubefflour","North","10",606.70
"clinicfcubefflour","South","1",563.64
"clinicfcubefflour","South","2",566.36
"clinicfcubefflour","South","3",568.84
"clinicfcubefflour","South","4",572.44
"clinicfcubefflour","South","5",574.04
"clinicfcubefflour","South","6",576.40
"clinicfcubefflour","South","7",578.76
"clinicfcubefflour","South","8",580.12
"clinicfcubefflour","South","9",581.48
"clinicfcubefflour","South","10",580.60
"clinicfcubefflour","Cities","1",243.50
"clinicfcubefflour","Cities","2",249.90
"clinicfcubefflour","Cities","3",256.40
"clinicfcubefflour","Cities","4",261.80
"clinicfcubefflour","Cities","5",267.10
"clinicfcubefflour","Cities","6",273.30
"clinicfcubefflour","Cities","7",278.40
"clinicfcubefflour","Cities","8",283.60
"clinicfcubefflour","Cities","9",287.70
"clinicfcubefflour","Cities","10",291.80
"clinicfflour","North","1",403.10
"clinicfflour","North","2",406.70
"clinicfflour","North","3",410.50
"clinicfflour","North","4",416.90
"clinicfflour","North","5",423.10
"clinicfflour","North","6",429.60
"clinicfflour","North","7",437.70
"clinicfflour","North","8",445.80
"clinicfflour","North","9",455.50
"clinicfflour","North","10",465.70
"clinicfflour","South","1",391.64
"clinicfflour","South","2",394.36
"clinicfflour","South","3",395.84
"clinicfflour","South","4",398.44
"clinicfflour","South","5",400.04
"clinicfflour","South","6",400.40
"clinicfflour","South","7",402.76
"clinicfflour","South","8",403.12
"clinicfflour","South","9",404.48
"clinicfflour","South","10",404.60
"clinicfflour","Cities","1",230.50
"clinicfflour","Cities","2",237.90
"clinicfflour","Cities","3",243.40
"clinicfflour","Cities","4",248.80
